pt_s,eta_s,phi_s,cha_s,fla_s,event
64.25652,-0.11377318,2.964018,1,3,1
39.575764,-0.5251537,1.7046562,1,3,3
137.51633,0.0337793,-1.9036793,-1,3,11
53.172295,-0.70518434,-2.5065985,1,3,13
41.898006,0.85343903,2.3016782,1,3,14
63.23185,1.091058,-0.9462602,-1,3,15
21.34603,1.2247527,2.0068576,1,3,16
28.50881,0.61791474,0.9431034,1,3,25
38.000954,0.42173764,-2.4435155,-1,3,28
73.23256,-0.2289639,1.9802352,-1,3,33
15.766121,1.6659446,2.7999732,-1,3,37
61.31205,0.90998894,3.0187929,1,3,40
82.292595,0.236703,0.41459098,1,3,48
57.12598,-0.112509765,0.1811298,-1,3,50
61.48057,0.05049293,1.5476577,-1,3,55
104.95761,0.22749142,-1.5032613,1,3,56
31.6275,0.711121,-2.3402388,1,3,86
33.08543,1.0284966,-1.8636816,-1,3,97
61.854294,-0.4374529,2.113323,1,3,105
59.061024,1.1144009,-0.7789814,-1,3,119
36.377552,1.487727,0.49284714,-1,3,141
77.11207,1.1948986,-0.14581001,1,3,142
10.937114,1.7429503,2.5985758,1,3,143
106.88721,-0.22551219,0.009963217,-1,3,146
91.6467,0.6884166,-0.89493793,1,3,147
44.987507,0.651744,0.015508086,1,3,148
55.382973,0.11040972,-1.7508925,-1,3,166
127.17224,0.33314788,-1.5906894,1,3,167
122.54954,-0.18269405,1.5348209,1,3,168
129.0744,0.3391502,2.0797942,1,3,174
154.00758,0.23037717,-0.097894214,1,3,186
83.67885,-0.87236315,-1.5494982,1,3,191
42.1805,-0.13966101,-1.6259652,1,3,192
87.2332,-0.83168024,1.8161048,1,3,200
122.4877,-0.4647774,0.932482,1,3,204
24.476763,-1.0220894,-1.8318396,-1,3,206
60.074184,-0.078302294,1.225318,1,3,207
27.884535,1.2619253,-1.2691574,-1,3,208
51.374428,-0.47650847,2.1630273,-1,3,209
107.44651,1.005073,-1.4866514,1,3,217
57.258053,-0.53899395,0.99691564,-1,3,219
43.184086,-0.7593268,2.1406863,1,3,228
127.78528,-0.27580374,-0.4173277,1,3,231
94.438065,0.15293917,-1.0247428,-1,3,232
109.04346,-0.21080379,-1.472423,-1,3,233
58.8721,-0.6316768,1.0043782,1,3,235
86.33239,-1.0954983,-0.7257416,-1,3,237
148.7938,0.011620523,-2.4757202,1,3,239
105.803856,-0.5759502,2.5773678,-1,3,243
39.564472,-0.3172815,0.20156789,1,3,248
119.42164,-0.28139785,-0.8727574,1,3,251
62.811073,0.20832309,0.3162646,-1,3,258
5.266432,0.7184791,1.9209903,1,3,269
84.00017,0.042175334,2.6812758,1,3,272
78.72787,-0.5078045,-2.3020008,-1,3,280
116.056366,-0.069190085,-0.8137726,-1,3,287
138.71225,0.09567188,2.295559,-1,3,288
92.109024,-0.8929551,-1.592722,1,3,302
80.91857,-0.72308755,0.93361706,-1,3,307
125.081474,-0.31215155,2.259238,-1,3,308
126.28603,0.17755598,-0.25949338,1,3,310
87.82072,0.88909507,-3.0568209,-1,3,318
76.97488,-1.099466,2.6791072,-1,3,321
68.66678,0.47614196,2.3652868,1,3,322
60.335995,0.96377736,-1.5424559,1,3,325
1.3464547,-0.58579403,1.3341037,1,3,332
10.533176,-0.23784707,3.0604408,-1,3,334
57.321346,-1.6466013,0.35739568,1,3,340
134.90152,-0.32279304,-1.2074909,1,3,346
30.302504,-0.83832115,-0.23352215,1,3,350
62.091652,0.41230202,2.0661864,1,3,351
134.19603,-0.5070664,-2.4902456,-1,3,353
26.999037,0.9632199,-2.856247,1,3,355
3.7631412,2.6188123,0.83772004,-1,3,366
75.304634,-0.15060753,2.5028894,-1,3,372
28.93472,0.8236345,-0.29931527,-1,3,376
31.31774,2.1251917,0.50812805,1,3,381
36.79854,0.61091566,0.24117891,1,3,384
38.71423,0.40620476,0.7469573,-1,3,388
22.305984,0.79158914,0.9733128,1,3,394
135.81808,-0.15009585,1.5586629,1,3,396
134.41685,0.22968218,0.09829807,-1,3,397
135.01074,-0.54170674,1.8424793,1,3,404
39.123623,0.67533624,-2.0116692,1,3,408
59.70187,-0.38951406,-3.0603938,1,3,417
51.58364,0.73382014,-1.2252026,-1,3,419
154.02242,0.2087077,1.1117793,1,3,425
21.158808,-0.4109606,-0.10513443,-1,3,426
129.38083,-0.43874368,0.32707062,-1,3,431
92.92958,-0.7412736,1.4529586,1,3,435
128.78328,-0.33812213,-1.229719,1,3,441
142.48705,0.15691209,-0.79613626,-1,3,454
101.73217,0.5772686,-3.1253667,-1,3,458
92.40009,1.0396457,2.2430162,1,3,467
91.495705,-0.85274637,1.050697,-1,3,468
126.3427,-0.06057651,-1.6710446,1,3,477
63.10592,0.30568364,0.35104117,-1,3,479
49.45625,0.31915587,-0.84974444,1,3,489
56.326637,0.20124699,-1.680228,-1,3,490
79.57234,0.4298013,-1.0487493,-1,3,491
48.841953,-0.1743037,-2.5437639,1,3,493
52.314842,-0.7932256,-2.8708048,-1,3,495
38.957424,0.5073449,0.074503265,-1,3,498
142.92043,0.39335683,-0.9513844,-1,3,502
48.384045,-0.21708457,2.6132882,-1,3,503
112.867065,-0.051204532,-0.82802975,1,3,509
20.216969,-0.48201576,-0.16609548,1,3,512
127.28864,-0.06507419,-1.9463098,1,3,524
127.944275,-0.43081075,-1.3437984,-1,3,526
49.63371,0.598152,-2.9694383,-1,3,533
20.147156,-1.2532171,0.43569678,-1,3,539
