pt_b,eta_b,phi_b,cha_b,fla_b,event
36.59723,-1.709504,-1.5961123,-1,5,1
127.21268,0.34825137,-3.009968,-1,5,3
11.906924,-1.4823668,-0.24714772,1,5,11
71.595894,1.0374062,-2.3057735,-1,5,13
102.12911,0.48530173,-1.9902173,-1,5,14
81.647446,0.23770586,0.9686094,1,5,15
146.12741,-0.11178517,-2.3135948,-1,5,16
67.67998,-0.6628815,1.9604936,-1,5,25
118.42143,-0.6076675,-0.81482434,1,5,28
115.26347,0.5491753,-2.5820017,1,5,33
120.41904,-0.30078718,-2.062723,1,5,37
41.091675,0.49970663,0.44537082,-1,5,40
67.60458,0.20984411,-1.1630807,-1,5,48
56.995113,1.2641822,-1.0671303,1,5,50
80.76868,0.44521964,0.015619096,1,5,55
155.02913,-0.2324178,1.6341827,-1,5,56
122.5966,0.7206178,0.24779788,-1,5,86
115.95891,-0.51495147,-0.8233018,1,5,97
110.24706,0.26972288,-2.7906227,-1,5,105
80.00429,-0.6499302,-0.1594171,1,5,119
71.19655,-0.28218824,-0.21576262,1,5,141
31.64106,0.29058662,-2.5291073,-1,5,142
143.66649,-0.31040975,-2.4871094,-1,5,143
24.70563,1.7675865,0.5732118,1,5,146
42.671482,-1.3450928,-0.27341628,-1,5,147
88.33244,-0.87046456,-0.77248895,-1,5,148
27.799368,-2.2097323,-0.5723512,1,5,166
41.383335,0.3682198,2.8102844,-1,5,167
25.591217,1.5303231,2.801241,-1,5,168
10.338519,-2.146934,2.3701198,-1,5,174
113.44506,-0.31980446,3.073387,-1,5,186
52.325302,0.54695714,-0.67699957,-1,5,191
117.16837,0.4738278,-3.1155818,-1,5,192
38.360405,0.6479677,1.1102712,-1,5,200
41.164383,0.6339114,-0.5057556,-1,5,204
139.29733,0.2528066,-0.15309972,1,5,206
64.08129,0.9942625,2.7173254,-1,5,207
103.29081,0.21137264,3.0159843,1,5,208
120.51791,0.19945553,-2.6507022,1,5,209
85.43781,-1.1254845,1.3106767,-1,5,217
53.956947,1.2906245,1.0340539,1,5,219
78.65798,-0.98046654,-0.6380168,-1,5,228
51.089767,0.15206204,1.1784035,-1,5,231
61.31212,0.22669466,-2.6147234,1,5,232
28.971558,-1.613224,2.843413,1,5,233
85.67402,-0.79536784,3.092929,-1,5,235
27.20517,0.9885784,-0.49986616,1,5,237
15.075612,1.1615908,-0.5188528,-1,5,239
41.481323,0.85738415,1.6344199,1,5,243
110.899414,0.6588784,1.6477772,-1,5,248
41.72814,0.6356776,-2.292976,-1,5,251
87.41342,-0.8206882,-1.0660561,1,5,258
95.36959,0.9776008,-0.64693034,-1,5,269
8.792286,-2.8351758,2.997275,-1,5,272
2.2114027,-0.32906297,-0.3936209,1,5,280
45.24714,-1.1122167,-2.3675983,1,5,287
37.71866,0.07515405,0.655781,1,5,288
45.241558,0.48102105,-2.6025398,-1,5,302
49.654922,-0.3874231,-0.9162716,1,5,307
23.147211,1.2157235,-2.850715,1,5,308
38.259205,-0.9237852,1.1799666,-1,5,310
48.52411,0.55355203,1.162938,1,5,318
35.846565,0.67580605,2.4455743,1,5,321
91.66427,0.7899607,-1.0991666,-1,5,322
78.33191,0.81993747,1.982787,-1,5,325
78.882744,-1.1997607,-2.1405337,-1,5,332
122.65119,0.3885307,-1.7204558,1,5,334
42.61231,1.7090781,3.0249095,-1,5,340
1.539331,-0.67832106,-2.982097,-1,5,346
88.4161,1.0531853,0.6575902,-1,5,350
97.56475,0.78603417,0.15237239,-1,5,351
114.08464,0.7576745,0.7671442,1,5,353
118.80194,0.4153264,-0.8168984,-1,5,355
109.02338,-0.02820903,1.7702116,1,5,366
40.359505,-1.324423,0.73604256,1,5,372
134.64049,0.31237203,1.9905597,1,5,376
21.489798,-0.5397559,0.28132024,-1,5,381
102.02339,0.8566106,-3.0236871,-1,5,384
110.66933,-0.69245625,2.3038704,1,5,388
136.72614,-0.2559349,2.3438845,-1,5,394
40.02616,0.105727926,-3.013436,-1,5,396
46.71733,0.0001987331,1.8922532,1,5,397
133.05301,0.5470381,-1.2947576,-1,5,404
132.75294,-0.07335807,2.720764,-1,5,408
52.20073,1.4131488,2.690485,-1,5,417
118.61339,0.08253319,0.36198035,1,5,419
146.21442,-0.22391352,-2.0324264,-1,5,425
147.61505,-0.119317666,1.6324135,1,5,426
37.832508,-0.40655613,-1.6824988,1,5,431
78.480804,0.18797481,-0.2651605,-1,5,435
10.678327,1.6434402,-0.3740772,-1,5,441
7.004407,0.8289827,-2.546401,1,5,454
35.567043,-1.0950292,2.606151,1,5,458
15.4653425,-0.008210366,0.5450967,-1,5,467
46.120712,-0.609523,-3.0068512,1,5,468
30.535578,1.1339428,2.9308054,-1,5,477
92.00541,-0.71386456,2.0381963,1,5,479
90.01734,1.0097198,2.7859426,-1,5,489
68.81362,-1.2473906,-0.07921193,1,5,490
33.859837,-0.44758812,0.48021194,1,5,491
29.005978,1.5667801,2.2662425,-1,5,493
120.0835,0.050416887,-1.4308897,1,5,495
52.746468,-1.4948721,0.30936986,1,5,498
72.835236,-0.4331184,2.238616,1,5,502
129.9462,0.3546383,0.9745085,1,5,503
143.34204,0.11487909,2.2667403,-1,5,509
119.10289,0.5421583,1.2564396,-1,5,512
30.3887,-1.2055172,-0.24996603,-1,5,524
6.531947,0.9158502,-0.17203692,1,5,526
64.09399,1.1966137,0.7801245,1,5,533
112.35435,-0.28530294,3.0458121,1,5,539
122.45382,0.22624119,2.8462386,1,5,551
18.803278,-0.9964551,1.5281346,-1,5,552
92.93158,-0.44749022,0.5662461,-1,5,553
113.91585,0.49720347,-0.77831787,1,5,555
139.95053,-0.13686423,2.7951488,1,5,559
51.561943,0.65724885,0.45421296,-1,5,560
69.251366,-1.2184165,1.8693926,-1,5,574
71.27824,-0.6594933,0.5046752,-1,5,578
107.78579,0.7678726,1.9140387,-1,5,584
57.430546,1.4029942,3.1026273,1,5,585
30.004747,-1.2147366,1.2626954,1,5,588
20.245173,0.5854984,-1.8965313,-1,5,590
38.700855,-0.30493927,3.021054,1,5,592
72.67183,0.81682247,0.16484505,-1,5,594
74.84158,-0.37513214,0.1389694,-1,5,600
96.86789,0.3992403,0.26033327,-1,5,601
36.91207,-0.76722246,-1.4737232,1,5,602
127.04815,0.18285245,1.1920282,1,5,608
45.67285,-0.14190593,-0.93359476,1,5,616
37.41216,-0.6600214,1.2176135,-1,5,617
48.796974,-0.36024728,1.0102944,-1,5,620
131.81372,-0.3238976,-3.1400409,1,5,622
124.55622,0.16359705,2.4973412,-1,5,626
55.512665,1.3639224,0.16774382,-1,5,631
24.45303,1.2988532,3.1050127,1,5,635
40.44016,-0.6103967,1.3708736,-1,5,638
45.302917,0.8625235,1.4455663,-1,5,645
31.976685,1.083331,0.75507015,1,5,656
42.405785,-0.97968227,1.2952945,-1,5,662
23.780762,0.7506559,-0.2156472,-1,5,663
36.649998,0.36145365,-1.2065755,-1,5,666
28.807245,0.12692928,1.9849007,-1,5,668
59.459026,0.21750894,1.2144688,-1,5,673
48.515152,0.9201581,-0.52617884,1,5,677
46.993103,-0.93930185,0.360338,1,5,678
39.939175,0.11268399,1.2523255,1,5,681
9.126657,-1.2656823,-3.1034927,-1,5,686
108.75559,0.04637743,-2.4172413,1,5,690
110.64587,0.7158315,-1.0445392,1,5,699
25.033792,-0.04410895,-0.16211548,-1,5,704
40.641514,0.32403228,2.8446345,-1,5,707
46.168556,0.69403476,2.3887036,-1,5,708
24.556814,-1.7455527,-0.8770782,-1,5,714
151.76314,0.08535237,-1.1189543,1,5,721
94.83877,-0.98348075,1.9504887,1,5,732
74.21281,0.2041169,-1.6269362,-1,5,745
105.50865,-0.6194708,1.9496764,1,5,749
96.42199,-1.0280577,2.4183786,1,5,750
77.973015,1.0138272,3.081437,-1,5,761
65.93069,-1.0720451,1.168086,1,5,762
76.646614,-0.08073515,1.6618,1,5,769
102.5959,-0.34856728,-1.2100477,-1,5,776
63.414204,0.22759089,0.16926464,-1,5,777
90.78944,0.6650116,0.03360787,1,5,785
117.003075,0.3988548,-0.93893665,-1,5,786
83.99816,0.51152277,0.20262367,-1,5,808
106.02066,-0.8720481,-0.6062014,1,5,818
71.32174,-1.2673774,-1.2498101,-1,5,821
31.58007,0.5819481,1.7916523,1,5,822
82.347244,0.87599546,-0.21204746,1,5,835
41.14136,-0.9638826,1.8881686,-1,5,840
57.930492,0.5740482,0.37327474,-1,5,853
10.687371,-2.4687035,0.0014066091,-1,5,855
16.775845,-1.387051,2.9423938,1,5,878
3.3293538,0.6863341,2.139774,-1,5,886
87.81967,-0.96400815,0.3886513,-1,5,897
146.30653,0.057716846,0.513036,1,5,899
153.61726,-0.18557146,0.8330998,-1,5,926
127.44658,0.4701577,0.20534103,-1,5,931
127.00691,-0.22265215,0.84104174,1,5,932
63.782215,0.47324383,1.6051502,1,5,941
81.39638,-0.78841466,-0.52679336,-1,5,942
104.669014,-0.44305444,2.4557006,1,5,951
1.430026,-0.98064244,0.08863525,1,5,954
135.98032,-0.024309747,2.616039,-1,5,955
127.54099,-0.36277413,-1.9998907,1,5,963
10.058475,2.0823338,1.9734257,1,5,966
149.78036,0.00030962777,-2.103621,1,5,968
118.883835,0.5518458,0.6032363,1,5,982
128.97328,-0.328281,1.9182682,-1,5,983
54.914692,-1.3845644,3.1084778,-1,5,984
78.58297,0.6317861,-2.3242972,1,5,996
2.252768,-2.5583127,-2.809961,1,5,1003
121.26031,0.08831774,2.4360657,1,5,1005
44.926865,-0.3218554,-0.7338848,-1,5,1006
42.50425,0.4205117,1.4520366,-1,5,1007
130.02856,0.26523244,0.98876005,1,5,1009
34.599033,0.6163561,-0.47709045,-1,5,1019
152.34065,-0.09521425,2.948826,1,5,1031
108.37682,-0.57938254,1.0553485,1,5,1032
98.3345,-0.41807145,-1.5646998,-1,5,1037
23.626314,1.5640427,-0.10178278,1,5,1039
61.648445,-0.14056295,-2.9475431,1,5,1047
15.048094,1.662711,2.8151255,-1,5,1051
50.92548,0.40770456,0.6901759,-1,5,1059
94.29458,-0.827751,2.9144619,-1,5,1071
44.248047,-0.0944853,-1.9132826,-1,5,1072
123.053604,-0.6016885,1.9260664,-1,5,1076
53.317665,0.524943,-0.71832436,-1,5,1079
75.62499,0.34070322,-3.1394575,1,5,1084
93.33272,0.5632482,-1.3717146,-1,5,1087
124.97627,0.52307487,1.1444311,-1,5,1090
32.966103,1.0863072,2.5409596,1,5,1100
31.934591,0.80150396,-1.4773246,1,5,1104
43.411877,1.8011748,0.3104172,1,5,1108
72.26353,-0.2199581,-2.4325411,1,5,1111
54.45156,0.009578047,-1.1161321,-1,5,1125
43.77622,0.040019818,-0.45046556,-1,5,1129
23.5681,0.7068882,-1.3624506,1,5,1149
126.06575,0.17436309,0.3110685,1,5,1153
29.194464,-1.0157616,-2.1057858,-1,5,1157
90.089935,-0.0716209,-0.4576793,1,5,1165
39.266994,-0.5284433,-2.512424,1,5,1167
113.63943,-0.34628832,1.3716532,-1,5,1178
45.80725,0.671843,2.7460568,1,5,1180
44.868465,0.599918,2.614258,-1,5,1181
111.63822,-0.426917,1.5476458,-1,5,1190
16.064669,-0.45951176,-2.1366625,1,5,1193
2.4835274,-0.03200217,-0.18013221,-1,5,1209
22.380972,-1.2048646,2.6533997,1,5,1211
22.25133,0.28410876,-2.5642061,-1,5,1224
112.08799,-0.06264464,-1.9264076,1,5,1227
12.960608,0.44420242,0.524842,1,5,1233
53.92332,0.33105654,-0.11125543,1,5,1236
30.035961,-0.5608466,0.07885173,-1,5,1237
122.1108,0.29530793,3.0006096,1,5,1238
111.484344,-0.7776258,-1.2663937,1,5,1244
19.317335,-1.1493851,2.2826102,1,5,1249
49.44514,-1.6996545,-1.7029009,1,5,1258
30.376501,-1.0179027,2.2265089,-1,5,1260
34.82104,1.8387115,-0.6844069,-1,5,1262
97.30769,1.087083,-1.5077978,-1,5,1263
60.892563,0.045281462,-3.0445013,1,5,1270
120.629005,-0.15955454,0.1297509,1,5,1276
117.472496,0.36282805,-1.3383145,1,5,1277
82.6349,0.6932586,-1.3620102,-1,5,1279
111.10442,0.881902,-0.7409334,1,5,1280
118.969574,-0.08342016,-2.923613,1,5,1285
3.3707025,0.031661633,2.290666,-1,5,1286
72.676414,-0.3709319,1.3522583,-1,5,1287
21.32668,0.8124608,0.9994578,1,5,1293
159.23543,0.16539228,-0.20621894,-1,5,1296
16.049507,1.9313427,2.0935194,1,5,1299
125.97084,-0.5213828,0.8159512,1,5,1304
47.653545,-1.3669213,1.1585251,-1,5,1311
76.477295,0.828813,-1.6272212,1,5,1317
39.116512,-0.8500154,0.19462965,1,5,1323
124.28358,-0.013760782,0.12505336,-1,5,1331
57.858444,0.26617065,0.6540843,1,5,1335
117.24045,-0.160137,-0.97416466,-1,5,1342
127.72426,0.24461329,2.6552382,1,5,1344
143.07323,0.18460292,0.035294995,-1,5,1346
11.072142,1.3464701,-0.677952,1,5,1349
112.82911,0.37455332,-1.3696486,1,5,1350
50.119736,-0.26111987,-0.22872725,1,5,1352
85.765945,-1.0031867,-2.2756894,-1,5,1357
60.945004,1.02906,-0.7519809,1,5,1359
22.35391,-1.7776601,3.0034168,1,5,1367
19.893808,-1.1612511,-1.9882283,-1,5,1369
58.547337,-0.18536207,-1.3448436,1,5,1375
48.451813,0.26621884,0.4022895,1,5,1376
55.4726,0.02362835,3.055671,-1,5,1381
49.331783,0.85356283,-1.8143374,1,5,1386
45.699783,0.90623045,-2.2443254,1,5,1395
43.089077,-1.541918,0.6445015,1,5,1400
49.779743,-1.2474014,0.71403253,1,5,1402
10.743878,0.2741475,2.31874,-1,5,1414
53.713684,-0.36112094,1.3547271,1,5,1416
157.616,-0.0872481,1.2014693,-1,5,1418
74.518074,0.9997412,0.41820675,-1,5,1426
68.18726,0.53128684,1.5357394,1,5,1427
1.7278886,0.76807785,2.95334,1,5,1435
34.04858,-0.698149,-2.1189988,1,5,1449
37.70392,-0.14275019,2.0717795,1,5,1451
32.247993,-0.37977517,2.0247374,1,5,1460
49.922028,-0.059422743,-0.08014232,1,5,1470
57.60499,-0.59898216,0.46684676,-1,5,1476
105.039764,-0.7239713,-0.3735679,1,5,1480
81.501915,0.39475796,1.6116718,1,5,1485
18.228523,0.45247862,-2.2149868,-1,5,1491
104.18886,-0.38891405,3.000333,1,5,1500
116.167175,-0.11173412,-1.2255186,-1,5,1503
35.04282,-0.65474284,-1.6721611,1,5,1512
75.99447,0.09002017,0.88241154,-1,5,1513
115.83176,0.003132142,0.32722473,1,5,1514
24.702198,0.43007803,-0.99677414,-1,5,1522
62.680096,-0.82598966,-1.8945788,-1,5,1526
60.989044,0.49571645,-2.2437851,-1,5,1531
26.32585,1.0042021,-2.0040572,-1,5,1532
116.31618,0.47840968,-1.0111887,1,5,1533
11.46068,-2.7602258,-2.428279,-1,5,1535
148.36397,0.025833298,-2.688423,-1,5,1543
84.51309,-0.17149505,1.9466156,-1,5,1546
20.145803,-0.7508424,-1.4035112,1,5,1561
133.33798,0.022407416,-0.1863748,1,5,1567
75.740555,-1.0748082,2.5581372,1,5,1569
32.820614,-1.0747621,-0.8936361,-1,5,1570
111.20509,-0.6682917,-0.5125424,-1,5,1578
6.2002277,-1.0867423,2.9923735,-1,5,1580
24.810759,-0.4564658,-0.8838775,-1,5,1591
115.752045,0.5880718,0.60691303,1,5,1592
111.02938,0.011979987,-2.2129095,-1,5,1594
100.025734,0.024210768,-2.0969038,-1,5,1598
37.787373,0.41851366,-0.40812036,-1,5,1599
58.617973,-0.43706143,-1.8826522,1,5,1606
31.039782,-1.3419281,-2.644634,-1,5,1608
86.772125,-0.14407283,2.911961,1,5,1611
95.86612,-0.8576268,-1.3798923,-1,5,1613
118.86933,-0.5449672,-2.471907,-1,5,1617
37.29402,0.44437188,-0.56895393,-1,5,1627
112.18818,-0.12618524,-1.2686617,-1,5,1629
61.005104,0.028051453,-2.4625888,-1,5,1640
17.902603,0.9106921,0.27928844,-1,5,1642
63.844997,-1.2277683,-0.70510024,1,5,1647
43.522495,-0.9169874,1.9057311,-1,5,1650
18.964403,1.5653983,-1.9575685,-1,5,1655
19.336008,-1.845836,-1.1794341,1,5,1660
1.4243551,0.69366264,0.81565344,1,5,1663
21.287712,-1.251198,-0.867602,-1,5,1665
9.747957,-1.160064,-1.2726651,1,5,1671
9.126829,-2.1482217,1.824947,1,5,1672
44.6635,-0.15573996,2.586235,-1,5,1673
34.478306,1.1187186,-1.1561394,1,5,1675
147.68211,-0.3629778,1.7459115,-1,5,1687
38.947113,0.15204205,-2.8203495,1,5,1690
102.96872,0.06666295,0.9647028,-1,5,1693
43.2792,0.28295627,1.4607273,1,5,1697
117.36516,0.17148435,2.9511704,-1,5,1698
48.405815,-0.15402326,-1.2796242,-1,5,1707
93.42076,0.83149564,0.29305625,-1,5,1723
77.841736,1.1015369,-0.824582,-1,5,1724
127.594635,0.3936851,-0.2663442,-1,5,1725
159.96513,-0.06553215,-1.1337196,1,5,1728
119.508255,0.34500545,-2.1073992,1,5,1738
4.3235435,-2.2610419,0.47548538,-1,5,1742
41.627945,0.4233875,1.1172202,-1,5,1753
67.54268,0.8263256,1.9136243,-1,5,1765
18.270336,-0.5383973,-2.1792662,-1,5,1796
107.91954,0.2702047,1.130918,-1,5,1799
141.0812,-0.29034048,1.2509266,-1,5,1801
65.34656,-0.04221225,2.2078001,1,5,1803
36.474937,-0.31098503,0.0042377794,1,5,1809
111.51546,-0.6202588,1.89552,-1,5,1819
69.44784,-0.4807918,1.2869128,-1,5,1829
80.67875,0.30726504,0.49852604,1,5,1831
26.688963,1.089839,0.49144465,1,5,1840
37.177513,0.94651175,-2.9349248,-1,5,1843
99.92906,0.34485042,0.6048846,1,5,1850
137.4624,-0.26698935,0.90604377,1,5,1853
124.094666,-0.14496244,-0.6036964,1,5,1859
75.134995,-1.1776229,2.0007668,-1,5,1865
63.78251,1.1235423,0.01466184,1,5,1875
52.735695,0.121753976,-2.547466,1,5,1914
68.99305,-0.24302351,-2.2342699,1,5,1916
1.9410906,0.06890946,-1.0040128,1,5,1925
28.911346,-0.83358,0.8702688,1,5,1933
103.11599,-0.24757771,-2.4418955,-1,5,1939
122.95487,-0.041903436,0.65722656,-1,5,1949
38.202847,0.23004179,-0.79926336,-1,5,1956
90.356804,-0.8526695,0.7702015,-1,5,1958
47.05544,-1.4014002,1.3372147,1,5,1975
88.37963,-0.15628481,1.4689897,1,5,1977
42.87819,-1.6057706,2.6436787,-1,5,1986
101.40756,-0.7136542,-3.0111547,1,5,1990
85.00081,1.070327,1.2889063,-1,5,1991
52.23978,-0.596963,-2.2298265,1,5,1999
36.26838,-0.073590375,0.81573826,-1,5,2007
71.27301,0.003775676,2.9974015,-1,5,2010
81.427666,0.7301605,-1.5515406,-1,5,2016
104.49087,-0.8048686,1.4329859,1,5,2023
59.121887,-1.217453,1.473367,1,5,2024
131.97827,0.23414302,-1.4973875,1,5,2028
112.4323,-0.2592503,-1.4239916,-1,5,2029
122.02381,-0.48030686,-0.08274868,-1,5,2033
115.80307,-0.95234245,0.81577355,-1,5,2034
49.579796,0.6898649,1.3274132,-1,5,2041
51.76272,0.14911339,-2.9210865,-1,5,2046
44.595074,-0.28157616,0.7546978,-1,5,2052
23.432917,1.2122917,-2.1718178,1,5,2059
1.3157178,0.39681914,2.2488868,1,5,2060
37.157955,-0.43941635,1.1010749,1,5,2061
1.5524324,0.18601672,1.5625933,-1,5,2069
113.432175,0.34390044,-2.270649,1,5,2072
108.893326,0.24901167,0.8626505,1,5,2074
54.22104,-1.4317757,-1.7927728,1,5,2078
93.60428,-0.09158984,3.009725,-1,5,2079
23.090626,-0.12473598,1.0011429,-1,5,2083
104.755135,-0.727789,0.006316667,-1,5,2088
42.822468,0.24495195,-2.7756572,-1,5,2090
19.525948,1.5143216,1.8960538,1,5,2094
121.29332,0.21818672,2.98952,-1,5,2096
110.76953,-0.5162944,0.09892758,-1,5,2104
59.779827,0.48818895,-3.1062946,1,5,2105
126.302025,-0.17550927,1.663589,1,5,2107
